"WAR_YEAR","COUNTRY_GAINING","COUNTRY_LOSING","POP","AREA","CONSEQUENCE"
1904,"Brazil","Ecuador",,67600,"cession"
1904,"France","United Kingdom",,1,"cession"
1904,"France","United Kingdom",,1,"cession"
1904,"France","Thailand",,20720,"cession"
1904,"France","United Kingdom",,16,"cession"
1904,"Thailand","France",,6076,"cession"
1905,"Norway","Sweden",2240032,323917,"secession"
1905,"China","Russia",5530000,939280,"cession"
1905,"Japan","Russia",405680,3253,"cession"
1905,"Japan","Russia",9824,32348,"cession"
1906,"United Kingdom","Turkey",,1,"cession"
1906,"Belgium","United Kingdom",250000,38850,"cession"
1907,"Brazil","Colombia",,162500,"cession"
1907,"Brazil","Bolivia",,65000,"cession"
1907,"France","Morocco",,100,"conquest"
1907,"France","Thailand",,18130,"cession"
1907,"Thailand","France",,35641,"cession"
1908,"Bulgaria","Turkey",4035575,96345,"secession"
1909,"Peru","Bolivia",,26000,"cession"
1909,"United Kingdom","Thailand",450000,38195,"cession"
1910,"United Kingdom","Belgium",250000,38850,"cession"
1910,"United Kingdom","Bhutan",250000,46600,"cession"
1910,"Belgium","United Kingdom",,1,"cession"
1910,"Morocco","France",,100,"cession"
1911,"United Kingdom","Liberia",,800,"cession"
1911,"Germany","France",1000000,259000,"cession"
1911,"Liberia","United Kingdom",,800,"cession"
1912,"France","Morocco",5400000,398523,"annexation"
1912,"Spain","Morocco",600000,26000,"annexation"
1912,"Italy","Turkey",100198,2681,"conquest"
1912,"Italy","Turkey",523176,1051539,"conquest"
1912,"Albania","Turkey",825000,28748,"secession"
1913,"Montenegro","Turkey",,5200,"cession"
1913,"Greece","Bulgaria",1703000,19110,"cession"
1913,"Greece","Turkey",3000000,3771,"cession"
1913,"Greece","United Kingdom",342151,8715,"annexation"
1913,"Greece","Turkey",1500000,24354,"cession"
1913,"Bulgaria","Turkey",,68250,"cession"
1913,"Romania","Bulgaria",286000,6959,"cession"
1913,"Saudi Arabia","Turkey",,107120,"conquest"
1914,"Italy","Albania",,5,"conquest"
1914,"Albania","Greece",,1,"cession"
1914,"Japan","Germany",168900,518,"cession"
1915,"Qatar","Turkey",,11000,"secession"
1916,"United States","Nicaragua",,10,"cession"
1916,"United Kingdom","Qatar",25000,22014,"annexation"
1916,"Spain","France",9836,33020,"cession"
1917,"United States","Denmark",26051,342,"cession"
1917,"Finland","Russia",3105000,325534,"secession"
1918,"Poland","Russia",15400000,263180,"secession"
1918,"Estonia","Russia",1107000,59984,"secession"
1918,"Latvia","Russia",1596000,63300,"secession"
1918,"Lithuania","Russia",2029000,154491,"secession"
1918,"Ukraine","Russia",,444595,"secession"
1918,"Armenia","Russia",1214391,31057,"secession"
1918,"Georgia","Russia",2372403,66976,"secession"
1918,"Azerbaijan","Russia",2096973,84984,"secession"
1919,"United Kingdom","Germany",188000,32634,"mandated territory"
1919,"United Kingdom","Germany",550000,80290,"mandated territory"
1919,"Belgium","Germany",61000,1000,"cession"
1919,"Luxembourg","Germany",,3,"cession"
1919,"France","Germany",500000,56600,"mandated territory"
1919,"France","Germany",1500000,432012,"mandated territory"
1919,"France","Germany",,259000,"cession"
1919,"France","Germany",657870,1945,"cession"
1919,"France","Germany",1874014,14514,"cession"
1919,"Portugal","Germany",,1040,"cession"
1919,"Poland","Germany",2700000,420000,"cession"
1919,"Poland","Austria",8257505,80080,"cession"
1919,"Hungary","Austria",7990000,91075,"cession"
1919,"Italy","France",,1,"cession"
1919,"Italy","Austria",229510,96,"cession"
1919,"Italy","Austria",1178786,18941,"cession"
1919,"Greece","Bulgaria",320000,6400,"cession"
1919,"South Africa","Germany",206000,822907,"mandated territory"
1919,"Australia","Germany",2120,21,"mandated territory"
1920,"Canada","United Kingdom",9235000,9571661,"unknown process"
1920,"United Kingdom","Turkey",757182,23310,"mandated territory"
1920,"United Kingdom","Turkey",200000,89484,"mandated territory"
1920,"United Kingdom","Turkey",2849282,280031,"mandated territory"
1920,"United Kingdom","Germany",5000000,939361,"mandated territory"
1920,"France","Turkey",1969004,184920,"mandated territory"
1920,"Poland","Lithuania",2075700,29818,"cession"
1918,"Romania","Russia",2686600,45632,"cession"
1920,"Romania","Hungary",5200000,108289,"cession"
1920,"Russia","Armenia",1214391,31057,"conquest"
1920,"Russia","Azerbaijan",2096973,84984,"conquest"
1920,"Russia","Georgia",2372403,66976,"conquest"
1920,"Russia","Ukraine",,444595,"conquest"
1920,"Denmark","Germany",160000,3800,"cession"
1920,"South Africa","United Kingdom",6930727,1223409,"unknown process"
1920,"Japan","Germany",70500,2476,"mandated territory"
1920,"Australia","Germany",400000,240870,"mandated territory"
1920,"Australia","United Kingdom",5426008,7695094,"unknown process"
1920,"New Zealand","Germany",41828,2823,"mandated territory"
1920,"New Zealand","United Kingdom",1268046,268676,"unknown process"
1921,"Costa Rica","Panama",100,1,"annexation"
1921,"Poland","Russia",3683568,113722,"cession"
1921,"Hungary","Austria",39525,225,"cession"
1921,"Russia","Turkey",186000,6975,"cession"
1921,"Finland","Sweden",27123,1422,"cession"
1921,"Mongolia","China",2400000,1531000,"secession"
1922,"Colombia","Venezuela",100,1,"cession"
1922,"Ireland","United Kingdom",3165000,68891,"unknown process"
1922,"Germany","Poland",1299127,9702,"cession"
1922,"Poland","Germany",893074,3221,"cession"
1922,"Egypt","United Kingdom",12800000,994300,"unknown process"
1922,"China","Japan",192000,552,"cession"
1924,"Belgium","Germany",3000000,54222,"mandated territory"
1924,"Italy","United Kingdom",12000,85470,"cession"
1925,"Italy","Egypt",,400,"cession"
1925,"Egypt","Italy",,1,"cession"
1926,"United Kingdom","Turkey",703378,91009,"cession"
1926,"New Zealand","United Kingdom",1033,6,"cession"
1927,"Belgium","Portugal",,3,"cession"
1927,"Portugal","Belgium",,3500,"cession"
1928,"Netherlands","United States",,1,"cession"
1928,"Norway","United Kingdom",0,48,"cession"
1929,"Peru","Chile",30000,8498,"cession"
1930,"China","United Kingdom",154416,738,"cession"
1932,"France","Mexico",0,5,"cession"
1932,"Iraq","United Kingdom",3560456,301994,"unknown process"
1932,"Japan","China",32900000,1304292,"conquest"
1933,"Japan","China",2963027,173960,"conquest"
1934,"Colombia","Peru",40000,113882,"cession"
1934,"Italy","France",,1,"cession"
1935,"Paraguay","Bolivia",35000,233100,"conquest"
1935,"Germany","France",812030,1912,"unification"
1935,"Italy","France",,800,"cession"
1936,"Italy","Ethiopia",7000000,906499,"conquest"
1937,"Japan","China",,1500000,"conquest"
1938,"Germany","Austria",6760000,83869,"annexation"
1939,"Germany","Lithuania",152660,2846,"annexation"
1939,"Italy","Albania",1003124,28748,"conquest"
