WARNAME,STATENAME,ISO3C,STARTDAY,STARTMONTH,STARTYEAR,ENDDAY,ENDMONTH,ENDYEAR,TOTAL_WAR_TIME,TOTAL_BATTLE_DEATHS,LAT,LNG,Start_date
Gulf War,Italy,ITA,16,01,1991,11,04,1991,85,41466,29.362458,47.698599,16/01/1991
Gulf War,Egypt,EGY,16,01,1991,11,04,1991,85,41466,29.362458,47.698599,16/01/1991
Gulf War,Canada,CAN,16,01,1991,11,04,1991,85,41466,29.362458,47.698599,16/01/1991
Gulf War,Qatar,QAT,16,01,1991,11,04,1991,85,41466,29.362458,47.698599,16/01/1991
Gulf War,Morocco,MAR,16,01,1991,11,04,1991,85,41466,29.362458,47.698599,16/01/1991
Gulf War,United States of America,USA,16,01,1991,11,04,1991,85,41466,29.362458,47.698599,16/01/1991
Gulf War,United Arab Emirates,ARE,16,01,1991,11,04,1991,85,41466,29.362458,47.698599,16/01/1991
Gulf War,Saudi Arabia,SAU,16,01,1991,11,04,1991,85,41466,29.362458,47.698599,16/01/1991
Gulf War,France,FRA,16,01,1991,11,04,1991,85,41466,29.362458,47.698599,16/01/1991
Gulf War,Syria,SYR,16,01,1991,11,04,1991,85,41466,29.362458,47.698599,16/01/1991
First Sino_Japanese,China,CHN,25,07,1894,30,03,1895,248,15000,37.046967,126.10608,25/07/1894
First Sino_Japanese,Japan,JPN,25,07,1894,30,03,1895,248,15000,37.046967,126.10608,25/07/1894
Crimean,Turkey,TUR,23,10,1853,01,03,1856,860,264200,33.66,44.83,23/10/1853
Crimean,Russia,RUS,23,10,1853,01,03,1856,860,264200,33.66,44.83,23/10/1853
Second Spanish_Moroccan,Spain,ESP,07,07,1909,23,03,1910,259,10000,32.9735,-5.2002,7/07/1909
Second Spanish_Moroccan,Morocco,MAR,07,07,1909,23,03,1910,259,10000,32.9735,-5.2002,7/07/1909
First Spanish_Moroccan,Spain,ESP,22,10,1859,25,03,1860,155,10000,32.9735,-5.2002,22/10/1859
First Spanish_Moroccan,Morocco,MAR,22,10,1859,25,03,1860,155,10000,32.9735,-5.2002,22/10/1859
